time,icu_occupied,med_occupied,icu_queue,med_queue,housekeepers_busy
5.522,0,0,0,0,0
5.522,0,1,0,0,0
7.419,0,1,0,0,0
7.419,1,1,0,0,0
7.805,1,1,0,0,1
8.738,1,1,0,0,1
8.738,2,1,0,0,1
9.735,2,0,0,0,0
11.882,2,0,0,0,1
11.887,2,0,0,0,1
11.887,2,1,0,0,1
12.01,2,1,0,0,1
12.01,2,1,1,0,1
13.673,2,3,1,0,1
14.715,2,3,1,1,2
16.265,2,3,0,1,1
16.265,2,3,1,1,1
17.505,2,3,1,0,1
18.425,2,3,1,1,1
19.558,2,3,2,1,2
20.023,2,3,2,1,2
21.986,2,3,2,0,2
22.461,2,3,1,1,2
23.267,2,3,1,1,2
24.444,2,3,2,0,2
25.098,2,3,1,0,1
26.025,2,2,1,0,0
27.814,2,2,2,0,2
28.583,2,2,2,0,2
29.595,2,0,3,0,0
31.835,2,0,3,0,1
32.649,2,0,3,0,2
34.198,2,0,2,0,1
34.49,2,0,1,0,0
36.423,2,0,1,0,0
36.423,2,1,1,0,0
37.77,2,1,1,0,1
38.333,2,1,1,0,2
38.534,2,1,1,0,2
39.675,2,2,1,0,2
40.387,2,2,0,0,1
41.447,2,2,0,0,2
42.078,1,2,0,0,1
43.042,1,3,0,1,2
44.889,1,3,0,1,2
45.176,1,3,0,1,1
46.171,0,3,0,2,1
47.424,0,3,0,3,1
48.527,0,3,0,3,1
49.075,0,3,0,3,2
50.525,0,3,0,2,0
51.95,0,3,0,2,1
53.011,0,3,0,2,2
53.49,0,3,0,2,2
54.69,0,3,0,1,2
55.024,0,3,0,2,1
56.463,0,3,0,2,2
57.303,0,3,0,1,1
58.455,0,3,0,0,0
59.142,0,3,0,0,1
60.013,0,3,0,3,1
61.119,0,3,0,3,2
62.711,0,3,0,3,2
63.466,1,3,0,1,1
64.692,1,3,0,0,0
65.555,1,3,0,1,1
66.486,1,3,0,2,1
67.682,1,3,0,3,0
68.328,1,3,0,3,1
69.853,1,3,0,4,2
70.37,1,3,0,3,2
71.538,0,3,0,3,2
72.041,0,3,0,2,1
73.118,1,3,0,3,1
74.209,2,3,0,3,1
75.726,2,3,0,3,2
76.054,2,3,0,4,1
77.122,2,3,0,3,2
78.443,1,3,0,3,2
79.134,1,3,0,3,1
80.119,1,3,0,3,2
81.653,1,3,0,3,2
82.1,1,3,0,3,2
83.761,1,3,0,1,0
84.094,1,3,0,2,0
85.126,1,3,0,3,1
86.753,1,3,0,3,1
87.142,1,3,0,3,2
88.752,0,3,0,2,1
89.199,0,3,0,1,0
90.589,1,3,0,1,0
92.152,1,3,0,2,2
92.589,1,3,0,1,1
93.551,1,3,0,0,0
94.404,1,3,0,0,0
95.473,2,3,0,1,2
96.263,2,3,0,1,2
97.147,2,3,0,1,2
98.051,2,3,0,0,1
100.136,2,3,1,0,2
100.484,2,3,1,0,2
102.158,2,3,0,0,2
102.34,1,3,0,0,2
103.92,1,1,0,0,1
104.328,1,0,0,0,0
108.196,1,0,0,0,1
110.1,0,0,0,0,0
